"name","type","guests","cabins","crew","length","year","model","summerLowSeasonPrice","summerHighSeasonPrice","winterLowSeasonPrice","winterHighSeasonPrice","description","rating","baseMarina","country","photos","userId","createdAt","updatedAt","id","similarYachts"
AOIBH,Catamarans,8,4,3,17.26,2014,Custom,3286.00,4071.00,3286.00,3286.00,"The 17.26m/56'8"" catamaran yacht 'Aoibh' by the French shipyard Fountaine Pajot offers flexible accommodation for up to 8 guests in 4 cabins.",4.00,Corsica,France,{https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AOIBH/00_main.jpg},ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579 +0300,2025-10-25 16:58:48.579 +0300,"9149396e-5737-4ae6-a29e-9129aafe9059","{074e1237-62ec-43fc-9245-98da440b38f2,51196bda-8ccc-41e2-a64a-ab93f62c4121,d47e3a3c-43f2-467b-8d28-8628c0f0f03d,8dfce990-1fd3-43b9-8964-ecbd8dd80d43,3651febf-f8f6-4107-ab56-8f837e23c6ae,15df3683-4a5c-49d5-ae85-fe7e31bcf0e7,44a38759-3dac-41d4-b2c5-8a264f223c35,279ec2aa-5299-4a7b-8d33-b7a704844710,965ca4c5-20d7-44f7-a630-646c06928f21,f2018daf-9573-4e6d-aa2b-aa0d9f0e8de5,1d5c1384-2de7-4cfb-8f8b-1920a2c1be02,ae29b9e8-9d8c-4aed-af79-8f1a25d77872,11801fa1-0ecf-429d-8664-92f32bf1d6f6,e0e456b0-136d-402f-9d26-82c29712dacb,b6b489cd-013f-4891-81fa-8376013eca98,df016e23-61f2-49c7-8622-a4d9054bb9df,db9cd214-ab60-475a-9d89-002700025bdb,3aafb83e-9bc1-4cdf-b9b5-42b5a88c549a,b32c32ef-fc00-40b1-bfb0-a5a0482c835e,ebbb6890-2d60-449d-8dce-987b969ef729}"
CHARLATAN,Sailing Yachts,6,3,3,26.70,2019,Jongert 2700M,4571.00,5571.00,4571.00,4571.00,"The 26.7m/87'7"" sail yacht 'Charlatan' by shipyard Jongert offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by Luxury Projects.",4.60,Ibiza,Spain,{https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/CHARLATAN/00_main.jpg},ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579 +0300,2025-10-25 16:58:48.579 +0300,"5d09a41f-4f28-4396-afcd-0d308c25efec","{908ffa86-06af-4635-8c0c-156ea5c604d1,be3dbcd8-a967-46ba-8fa0-549aa5413191,3a72bff8-8817-407f-934a-ecfdc70ba869,be564402-0977-4cae-b818-79bdda72b5a0,27490d5c-a246-4ade-b534-27ac6d156066,a7de6527-3221-441f-b54c-992d7a298fe7,9335b2c5-a186-4ae5-a6a8-04b566e05b3f,12aba019-3de1-4b6e-b591-a6a640ba7314,d9ab890a-f89f-4ab8-9960-16dc637a0cb9,5ffba4d9-f260-4516-9bd8-eef4af4f280f,2024b9db-473c-4872-8d1f-844709e460f6,1ecd98bb-7b7e-469e-b0da-cd6a17240720,0e564418-69a8-4d49-8439-2880a860b34f,c16f1716-b369-418c-87db-7164504d0278,3294d7b6-c0b7-40f7-9cab-890b4a53127c,4b9bf856-0e76-4c41-a16f-89b34ba391d5,40d06065-7c70-4550-9d3c-0c65e1402b54,a8889116-a413-46c4-a38f-a903b5527c48,f478f650-5d88-497f-b5ee-c1e3dd8f8dbd,bf042d2b-edc5-46ef-a6e2-3b72aba13740}"
ABELY,Motor Yachts,10,4,5,32.99,2024,Commuter 108,7500.00,9143.00,7500.00,9143.00,"The 32.5m/106'8"" motor yacht 'Abely' (ex. Abely Wheeler) by shipyard Ocea offers flexible accommodation for up to 10 guests in 4 cabins.",4.50,Ibiza,Spain,"{https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ABELY/00_main.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ABELY/01.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ABELY/02.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ABELY/03.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ABELY/04.jpg}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579 +0300,2025-10-25 16:58:48.579 +0300,bdfa3bb0-9a39-47b8-ab00-09930bfb7d2b,"{20389ed1-9672-4318-97b8-4ff67898dff2,2a26d89c-7a45-47c5-b147-fbd4c1eea5ce,a7b03bf0-8ea8-4caa-bae0-a1bfbf650eb8,ca33b8e1-18af-4abd-80f5-6ec7246973b6,24414531-03be-4b47-8ebf-41c18f65f32b,58650c07-43fc-40d2-8021-3894b7eb3b52,ceb14bcb-9a3e-4ce4-b54a-e77ffda51f4a,5740a809-5ff2-41c7-bee7-3f5eed723790,b69549fd-7182-48a0-84ab-5f38d0e2a04d,f85bb791-f4be-4b1f-bca5-ff98790d3174,d6bb2c1e-0dc3-465b-9cce-f6c69e97eb63,15fd1679-056b-4a7b-81aa-11263c9d64af,152ad01e-8c86-4bb6-af9a-07d877959619,d7c533ac-74c9-41db-a99f-274e73225b0c,08422776-c3e2-4dd9-8760-4674911be9d4,f908c4f4-b0ed-4584-bb7a-c3d6d5ee41ce,0d746270-dd2f-4a7d-99a4-4f7a8268a25e,8ccc667c-f6da-40d9-bf75-9c3d31e910c6,cf73721b-ee20-47a7-a288-f96951f288bc,a20fa4ec-6e5e-43a7-b905-77c747b1e00e}"
AEGEAN CLIPPER,Gulet Yachts,22,11,5,41.00,2019,Custom,3643.00,4429.00,3643.00,4429.00,"The 41m/134'6"" 'Aegean Clipper' gulet yacht built by Bodrum Shipyard is available for charter for up to 22 guests in 11 cabins.",4.10,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AEGEAN CLIPPER/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AEGEAN CLIPPER/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AEGEAN CLIPPER/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AEGEAN CLIPPER/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AEGEAN CLIPPER/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579 +0300,2025-10-25 16:58:48.579 +0300,b8cdc6f5-72d3-4ab7-87a8-862675b40a34,"{34055a6e-189d-493d-90e2-db5b6526f8a9,689e143b-9e0d-4a22-8d51-55245f4a96c6,1e9751c1-d5f4-402d-8db0-51a8ccb51158,cd61e8f7-532a-4070-a35e-6f3c46d8828a,4bb6c0b5-3b4d-4199-8a07-6fd1ea5a8f16,3ce5d48a-c9c6-4d3e-a981-bf3fc746435a,82864bba-0ace-49a9-a31c-2e6572022adb,d2b51c1d-a92e-49cb-af03-2071acde28f2,19e42760-6eaa-4812-8165-eb455a3f43b9,808309e4-d4aa-4369-8f4c-73fcc781a657,33275488-6b27-41a2-b8ff-c0213dc61d24,53235fad-9c41-4a77-a4f1-9067b005728a,358bf49a-6f09-4b92-84d9-5de6012c0420,900d2aff-96b5-4dc9-931e-cdb7f0d214e6,1de6cb3b-f7b1-4c52-9b63-73f99d6b734c,c2b4538e-cfc6-4816-973e-b18e6a5f3d42,5a386abf-b2e2-4127-bb94-e1701c0e0404,936b7e28-f4b1-429e-bd7b-264b17ef28c9,22bc2296-ea2a-4d72-884c-ea59bc8e3945,4be3df95-b862-44ae-869c-31a3dfe64122}"
AERO,Motor Yachts,10,5,7,39.60,2023,CRN 128,22000.00,24286.00,22786.00,26071.00,"The 39.6m/129'11"" motor yacht 'Aero' by the Italian shipyard CRN Yachts offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Zuccon.",4.80,Amalfi Coast,Italy,"{https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AERO/00_main.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AERO/01.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AERO/02.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AERO/03.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AERO/04.jpg}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579 +0300,2025-10-25 16:58:48.579 +0300,e268e2ec-31c7-4c74-8a31-a6ca46a9de88,"{9a504274-f2c9-4b59-b921-94e5cd480745,c036e89a-dd36-4126-acd2-6008ecb1310c,d95fe57e-57bc-42dc-9dff-3ef9dab55bfe,292080e4-566b-4067-b2c8-54281e4a52ff,1e3d0e41-f5ae-43cb-a2e1-1d2061e9d87a,a10b422a-93a2-4d06-ac15-66203db5428a,8fba93d9-cf41-4fcc-b2e3-f3a571aad1f7,0e8bd101-019f-4729-b5c7-2e5ee0b4ccc0,ec6ff6d2-1d41-4825-b51a-5942554732aa,fdbefbdd-c21b-4c42-b631-195498b6b266,3fe67557-b2d3-47c5-a81c-185add6c750e,0792416d-3eb9-408a-8eae-c8e910a8b565,6ae233cf-d0b5-46d4-a9af-bc4f024e7198,f6b46ddd-ae01-45f1-bd77-cbfd96a61495,5c7ff8d9-7b91-492b-a38f-4a8ca9b4b1ce,b9cb3f38-e060-49fd-832e-13eedeac2ca8,3df2bacd-0af3-4863-aa1c-9772b9c0b061,2c0bb7f1-a78a-4042-aca6-76ff1e3c8180,a60f9319-a704-4928-baca-8722539bfeab,8d2f49f5-bce5-4def-a10a-1184d336958e}"
AGORA,Gulet Yachts,12,6,4,29.00,2020,Custom,2286.00,2786.00,2286.00,2786.00,"The 29m/95'2"" gulet yacht 'Agora' by shipyard Custom offers flexible accommodation for up to 12 guests in 6 cabins.",4.00,Mykonos,Greece,"{https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AGORA/00_main.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AGORA/01.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AGORA/02.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AGORA/03.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AGORA/04.jpg}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579 +0300,2025-10-25 16:58:48.579 +0300,"05dac4d6-fc08-46ad-baa2-50f4226619f7","{3d72d71d-d24c-4a3a-8ec0-7563f7fd10c7,739b2f3f-5639-4b7c-b939-6e71acfda228,15ade41b-5d76-4196-8dbe-d5014824f089,5515b19b-abab-47dd-83c6-2f4843c00d2f,d70b9fa2-aacf-43d0-af0c-863c403d859d,7d8752fd-28af-47b6-9e06-9f03e2023d05,8268a379-def3-4309-b42b-c85572569327,8bfe8264-98d3-4254-8271-d887adb5f5a8,b6304999-ffa0-4322-8ab4-736501fadcfb,a6b97a11-7e64-4d78-a47c-1702bb0e0ac0,492234ab-0a23-4107-a3d2-d2035883276a,6f55eeb6-4938-4fc2-9f30-9275a69854a8,bec210a2-ff3d-4668-9474-209bec6ef6d6,d4cdc7de-8455-49e0-978f-e15b01b0c5b2,09344903-0a32-4abf-83c7-48cdf797c7fe,402f1f8c-83fa-4cb0-879e-235506321662,ecc8169c-62fd-4f40-9c56-9b0378e59873,820eae9f-0c6a-4ded-bc12-08a895e6ea37,544ffe14-1432-452c-bf11-433fb6b329da,f0ca2962-356b-492e-a424-4f494de0dd96}"
ALBA,Gulet Yachts,10,5,4,30.00,2014,Custom,3143.00,4143.00,3143.00,3143.00,"The 30m/98'5"" 'Alba' gulet yacht built by shipyard Custom is available for charter for up to 10 guests in 5 cabins.",3.50,Calvi,France,"{https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ALBA/00_main.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ALBA/01.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ALBA/02.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ALBA/03.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ALBA/04.jpg}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579 +0300,2025-10-25 16:58:48.579 +0300,"1d2b10bb-9365-4a48-a687-7133f7b0d55c","{6d9d1bd5-bce2-469d-8cff-5e42e81e2474,e96e1f7b-a8d1-42e5-9986-ae53e5502499,6ec5795a-d7fd-4712-a9c6-3c715655c0c2,24da86e1-fd56-4d8c-a4fb-47ce2e7a5553,f68e038a-e236-4988-baa9-4ac364c44629,760623e5-1336-411c-80f9-886b48ac4c30,5a1089ed-9531-47b0-9f3c-b2f308f6776a,aa081b66-ce9e-47f8-b53f-89ba3f9a1614,b638e567-273a-40a6-8943-b266a21dbbd9,10223fb7-f5c6-44bc-a3e7-efe1ef824893,2d9be808-6eff-4baf-90cb-3f512e76020f,04518d1b-f179-48e3-b0dc-5dccc519f680,51277c8e-91ad-4af9-a143-ad7ef89e3dbc,dfe69fc3-5bce-412a-b6a1-8ad84db38aed,6cb23742-83f0-4c30-bad4-7e1ded918759,34e8974d-394b-4b29-be27-1a0ad0b5929f,6cfb1b1a-4dce-4932-8eed-8865a7306254,fd97031f-85b9-4d06-9ee4-57adb0081859,14f665e0-32c2-4510-a8a8-81154d1777aa,260baac5-bba2-48f5-a6fc-161f4cf5eead}"
ALCOR,Motor Yachts,12,6,6,35.60,2020,Custom,11214.00,12571.00,11214.00,12571.00,"The 35m/114'10"" 'Alcor' motor yacht built by the Dutch shipyard Heesen is available for charter for up to 12 guests in 6 cabins. This yacht features interior styling by Aldo Cichero.",4.10,Ibiza,Spain,"{https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ALCOR/00_main.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ALCOR/01.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ALCOR/02.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ALCOR/03.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ALCOR/04.jpg}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579 +0300,2025-10-25 16:58:48.579 +0300,"90d38f0e-01ae-4b6a-9eef-2d70a73747bc","{5fd06203-2f87-4917-ae6a-513577de1f58,77a6d6a4-e326-4262-9803-62a750c2dcc7,6f5d2cca-51d9-4395-8c33-fd3aa8c6b07e,c706a2f5-f5e0-477c-952b-5a3fcb3175b0,b50a909e-4c54-4852-918e-1844d460e7d4,ab86175d-5b98-4f60-8540-dcc34e311a6e,e8c74b92-abb4-41e6-b959-2f505334f056,c01de4c5-49d4-4d5b-9ef9-cf0854c67da0,b551a541-011c-4a40-a325-4ce35266c697,670ce16c-40c6-4f98-a42e-660ead0d31dc,822d0bd4-85cf-4e9d-a068-c454d0a1da03,a1c5f1ee-4be8-48f5-9d1f-00824e5c7210,7ea59d53-173c-4eda-bfed-647ab4acb279,c21563f0-7ac3-4a3d-9618-d53e3a57914c,1e0f8293-c6f3-47f3-b521-aaeb8b3cec6e,28662e52-c760-4900-8bd6-2318b6ee5681,ec5cd7e6-a65f-44b8-ab87-9dd54f0d6a90,e562be6e-d1a5-4ada-a414-e886deb8f85d,a3f77677-6574-4a9e-8990-ca7b65ba6b60,2fdbc224-ef7b-4040-9d02-7022a3454579}"
ANGELICA,Gulet Yachts,10,5,4,30.00,2005,Custom,2929.00,3500.00,2929.00,2929.00,"The 30.8m/101'1"" gulet yacht 'Angelica' by shipyard Custom offers flexible accommodation for up to 10 guests in 5 cabins.",4.40,Amalfi Coast,Italy,"{https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ANGELICA/00_main.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ANGELICA/01.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ANGELICA/02.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ANGELICA/03.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/ANGELICA/04.jpg}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579 +0300,2025-10-25 16:58:48.579 +0300,"24da86e1-fd56-4d8c-a4fb-47ce2e7a5553","{11ea6cd7-c7a7-4eb8-9f48-958ebc236189,04518d1b-f179-48e3-b0dc-5dccc519f680,f68e038a-e236-4988-baa9-4ac364c44629,6cb23742-83f0-4c30-bad4-7e1ded918759,0db51999-e68f-4961-a285-d8b45cd923ec,5e7d3c99-4567-4553-b4e1-4201b9f5478a,1d2b10bb-9365-4a48-a687-7133f7b0d55c,5a1089ed-9531-47b0-9f3c-b2f308f6776a,6ec5795a-d7fd-4712-a9c6-3c715655c0c2,6cfb1b1a-4dce-4932-8eed-8865a7306254,e96e1f7b-a8d1-42e5-9986-ae53e5502499,b7a29ba5-87c6-4d94-8466-1b2cc44efccb,ec480e3b-4f05-48d5-b4c8-5b981c1818c7,75e12d52-c604-4afe-baef-f3fecd019ff3,30a9be08-28a0-4b54-8043-a4c370ff2b1b,7d71a6cb-cd27-41bc-ae19-2774b8485773,16c61cc9-5349-4390-be2c-7561b1f77574,730f9aa8-e99b-4cee-adc0-fd5093f38c2f,9d4fba0b-0836-4d7c-869d-cb2406f5d4a3,af716385-3fa2-41d8-9b8d-c34467eba53e}"
PACHA,Gulet Yachts,9,4,4,28.50,2018,Custom,3714.00,4357.00,3714.00,4357.00,"The 28m/91'10"" 'Pacha' gulet yacht built by Tuzla Shipyard is available for charter for up to 9 guests in 4 cabins.",4.80,Amalfi Coast,Italy,"{https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/PACHA/00_main.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/PACHA/01.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/PACHA/02.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/PACHA/03.jpg,https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/PACHA/04.jpg}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579 +0300,2025-10-25 16:58:48.579 +0300,"8144b685-d5df-4b37-bf19-fa342132d184","{af716385-3fa2-41d8-9b8d-c34467eba53e,7f4b7464-1a2b-495b-ae20-eefa98aff54d,1b4cdaaf-b800-4cd7-9d13-0bad4deef5b1,0a06ea3a-e6a6-4203-9c3c-38f1b9c559ca,0f5fc3e3-724a-47ad-a38c-2cdefa0483e1,76b67e1f-3f73-41f4-b45c-4583d13a7611,42c8daad-4953-4c2f-a103-2969289d069c,4f1f9b33-f257-40ac-8f0f-5aad6dd30d94,cc464ca0-9ddd-4b3f-a197-d5ed8c6bc5b4,0b286738-bea5-4b7a-a239-714acb604343,9ce3553e-fd4d-401e-9a9d-8e37b21e6dfd,f141122c-8feb-4598-afd9-d10fb050956e,365a30eb-68ca-4b85-b1fe-24ed668288e5,c9c9e172-8905-4b68-a2a6-dc228894eef3,75e12d52-c604-4afe-baef-f3fecd019ff3,17c76a2f-3f12-490d-aae6-c2a74bb6ca5d,01035ec7-f98f-451c-b23d-494082178f9b,f05e21c8-5808-4765-bc58-27515db1422a,9d4fba0b-0836-4d7c-869d-cb2406f5d4a3,1bcb3358-5292-4c3d-8a2a-ae21f328e8de}"
